-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/14/2014 through 04/14/2024 
Location: Latitude  21.1571   Longitude 79.0825 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M
2014,4,14,32.94,39.94,26.55,34.0,6.73,97.68,4.48
2014,4,15,32.72,40.59,25.29,38.38,0.39,97.71,3.78
2014,4,16,33.57,42.31,24.48,29.94,0.49,97.5,2.7
2014,4,17,33.99,42.69,25.38,25.69,0.3,97.38,2.76
2014,4,18,33.19,41.05,25.62,39.06,1.33,97.66,3.9
2014,4,19,34.12,41.33,27.55,33.81,0.51,97.67,2.1
2014,4,20,33.07,38.59,28.4,34.94,0.34,97.66,1.4
2014,4,21,32.99,38.52,26.87,35.12,0.23,97.7,2.05
2014,4,22,33.97,40.13,26.9,31.88,0.02,97.83,1.45
2014,4,23,34.46,40.68,27.46,30.06,0.0,97.72,2.32
2014,4,24,35.56,42.68,28.65,22.81,0.0,97.45,2.73
2014,4,25,35.35,44.0,25.97,16.62,0.0,97.43,2.72
2014,4,26,35.92,44.76,26.46,15.94,0.0,97.36,2.12
2014,4,27,36.15,44.98,26.97,15.31,0.0,97.39,2.21
2014,4,28,35.84,44.55,26.19,15.62,0.0,97.37,1.6
2014,4,29,36.5,44.3,28.05,21.44,0.02,97.33,2.95
2014,4,30,36.2,43.03,29.57,27.06,0.32,97.4,4.5
2014,5,1,36.76,44.58,29.73,26.0,1.85,97.28,3.91
2014,5,2,36.66,44.86,27.64,18.25,0.41,97.23,1.95
2014,5,3,35.96,43.03,28.65,28.25,1.35,97.34,4.52
2014,5,4,33.4,39.37,28.87,36.06,0.09,97.41,2.99
2014,5,5,34.31,41.34,27.14,36.06,3.21,97.45,4.54
2014,5,6,33.88,40.27,26.74,37.94,0.75,97.56,3.62
2014,5,7,34.8,41.4,27.37,37.12,0.14,97.45,4.05
2014,5,8,35.08,40.84,29.38,34.69,0.45,97.3,5.53
2014,5,9,31.71,38.67,26.29,45.88,4.69,97.33,5.37
2014,5,10,32.38,40.72,24.23,46.94,0.08,97.18,3.09
2014,5,11,34.48,41.68,26.65,28.62,0.0,97.33,3.76
2014,5,12,35.08,42.64,26.42,22.69,0.0,97.38,3.93
2014,5,13,35.82,42.21,29.33,24.44,0.06,97.38,2.94
2014,5,14,36.01,42.32,30.85,22.62,1.69,97.35,3.84
2014,5,15,35.11,42.43,27.08,22.69,0.04,97.24,3.71
2014,5,16,35.89,42.34,29.69,23.5,0.0,97.22,3.85
2014,5,17,36.38,43.32,29.72,24.81,0.0,97.33,3.92
2014,5,18,37.49,44.12,30.42,23.0,0.06,97.31,2.78
2014,5,19,37.19,43.94,30.15,28.62,0.32,97.36,2.59
2014,5,20,36.43,41.78,31.19,35.25,4.7,97.3,2.95
2014,5,21,36.42,43.95,29.25,31.31,0.4,97.09,3.46
2014,5,22,37.07,45.65,28.58,19.75,0.0,96.92,4.47
2014,5,23,37.65,45.58,28.51,18.56,0.0,96.92,3.36
2014,5,24,38.01,46.37,29.34,17.12,0.0,96.96,2.48
2014,5,25,36.8,44.44,29.21,31.12,0.09,97.08,3.8
2014,5,26,35.87,43.23,28.31,32.75,0.09,97.28,4.43
2014,5,27,35.54,42.39,28.7,32.81,0.11,97.22,2.54
2014,5,28,36.62,44.37,27.81,22.62,0.03,97.19,2.88
2014,5,29,37.83,45.72,30.1,21.25,0.0,97.1,2.91
2014,5,30,39.48,47.4,31.62,19.31,0.1,96.93,4.17
2014,5,31,39.94,46.48,33.71,17.88,0.04,96.86,5.54
2014,6,1,40.19,47.3,32.38,18.62,0.23,96.85,3.7
2014,6,2,38.55,45.19,31.72,29.38,1.25,97.02,3.18
2014,6,3,38.53,45.07,32.19,25.81,0.16,96.88,2.84
2014,6,4,38.3,45.53,30.87,27.12,0.0,96.81,3.12
2014,6,5,38.7,45.96,31.08,24.88,0.0,96.65,2.84
2014,6,6,39.69,47.62,32.07,21.38,0.0,96.5,2.91
2014,6,7,40.83,47.61,32.58,20.5,0.0,96.38,3.68
2014,6,8,41.33,47.76,35.57,16.81,0.0,96.28,5.26
2014,6,9,40.62,47.95,34.63,21.06,0.0,96.38,5.21
2014,6,10,37.08,40.85,33.89,26.88,0.36,96.72,5.76
2014,6,11,38.4,45.29,32.62,32.75,0.61,96.7,7.7
2014,6,12,36.55,42.83,30.33,36.75,0.46,96.85,6.21
2014,6,13,36.51,43.02,31.08,34.69,6.56,96.79,6.14
2014,6,14,33.4,39.57,28.08,51.31,14.45,96.95,4.82
2014,6,15,32.73,38.96,26.62,56.5,2.12,96.97,4.21
2014,6,16,33.0,38.3,27.98,54.25,6.68,96.91,4.38
2014,6,17,31.69,35.9,27.54,63.5,18.91,96.87,4.96
2014,6,18,31.15,35.65,27.45,63.62,4.11,96.79,4.45
2014,6,19,30.94,35.71,26.48,60.06,2.34,96.74,4.0
2014,6,20,30.92,35.3,26.83,61.19,4.02,96.77,5.19
2014,6,21,32.41,38.66,27.37,53.62,0.2,96.9,5.55
2014,6,22,33.27,39.6,28.03,48.56,0.0,97.02,5.74
2014,6,23,32.61,38.14,27.37,50.62,0.0,97.01,6.1
2014,6,24,32.72,39.77,26.87,48.12,0.0,96.84,6.09
2014,6,25,33.44,39.85,27.57,47.5,0.32,96.85,5.48
2014,6,26,33.69,39.09,28.23,48.5,0.8,97.1,4.78
2014,6,27,33.05,38.8,28.18,52.19,11.27,97.25,3.05
2014,6,28,30.29,35.54,26.15,63.62,1.83,97.26,3.51
2014,6,29,31.09,35.8,26.45,57.69,0.04,97.08,4.53
2014,6,30,32.94,40.33,26.43,48.06,0.0,96.95,3.8
2014,7,1,34.06,41.48,27.14,42.0,0.0,97.05,4.77
2014,7,2,34.66,41.52,28.58,39.31,0.0,97.05,5.62
2014,7,3,34.65,40.9,29.13,40.31,2.73,96.86,5.87
2014,7,4,34.25,40.05,29.72,47.5,2.27,96.81,3.92
2014,7,5,32.4,37.8,26.62,55.5,5.91,96.87,3.65
